value,record,element,collection
2006062120060920,28,originInfo,loc
United States Elections Web Archive,28,relatedItem,loc
Researcher and Reference Services Division,28,relatedItem,loc
http://www.lptexas.org/2006/mclauchlan/952http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000952.jpgNone2006062120060920,28,relatedItem,loc
website,28,genre,loc
None,28,part,loc
text,28,typeOfResource,loc
None,28,accessCondition,loc
"McLauchlan, J. Michael",28,subject,loc
Political candidatesUnited States,28,subject,loc
ElectionsUnited States,28,subject,loc
Politics and governmentUnited States,28,subject,loc
"United States Elections, 2006",28,subject,loc
United StatesCongressHouse,28,subject,loc
Libertarian Party,28,subject,loc
Texas,28,subject,loc
Texas (8th Congressional District),28,subject,loc
electronictext/htmlborn digital,28,physicalDescription,loc
eng,28,language,loc
"McLauchlan, J. Michael",28,name,loc
"McLauchlan, J. Michael",28,name,loc
United StatesCongressHouse,28,name,loc
Libertarian Party,28,name,loc
Official Campaign Website - J. Michael McLauchlan,28,titleInfo,loc
United States Elections Web Archive,28,titleInfo,loc
Researcher and Reference Services Division,28,titleInfo,loc
dlc20221128lcwaN0000604eng,27,recordInfo,loc
lcwaN0000604,27,identifier,loc
2093,27,identifier,loc
http://www.lptexas.org/2006/mnelson,27,identifier,loc
951,27,identifier,loc
general,27,targetAudience,loc
2006062120061207,27,originInfo,loc
United States Elections Web Archive,27,relatedItem,loc
Researcher and Reference Services Division,27,relatedItem,loc
http://www.lptexas.org/2006/mnelson951http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000951.jpgNone2006062120061207,27,relatedItem,loc
website,27,genre,loc
None,27,part,loc
text,27,typeOfResource,loc
None,27,accessCondition,loc
"Nelson, Mike",27,subject,loc
Political candidatesUnited States,27,subject,loc
ElectionsUnited States,27,subject,loc
Politics and governmentUnited States,27,subject,loc
"United States Elections, 2006",27,subject,loc
United StatesCongressHouse,27,subject,loc
Libertarian Party,27,subject,loc
Texas,27,subject,loc
Texas (5th Congressional District),27,subject,loc
electronictext/htmlborn digital,27,physicalDescription,loc
eng,27,language,loc
"Nelson, Mike",27,name,loc
"Nelson, Mike",27,name,loc
United StatesCongressHouse,27,name,loc
Libertarian Party,27,name,loc
Official Campaign Website - Mike Nelson,27,titleInfo,loc
United States Elections Web Archive,27,titleInfo,loc
Researcher and Reference Services Division,27,titleInfo,loc
dlc20221128lcwaN0000603eng,26,recordInfo,loc
lcwaN0000603,26,identifier,loc
2119,26,identifier,loc
http://www.lptexas.org/2006/nulsen,26,identifier,loc
950,26,identifier,loc
general,26,targetAudience,loc
2006062120061214,26,originInfo,loc
United States Elections Web Archive,26,relatedItem,loc
Researcher and Reference Services Division,26,relatedItem,loc
http://www.lptexas.org/2006/nulsen950http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000950.jpgNone2006062120061214,26,relatedItem,loc
website,26,genre,loc
None,26,part,loc
text,26,typeOfResource,loc
None,26,accessCondition,loc
"Nulsen, Carl",26,subject,loc
Political candidatesUnited States,26,subject,loc
ElectionsUnited States,26,subject,loc
Politics and governmentUnited States,26,subject,loc
"United States Elections, 2006",26,subject,loc
United StatesCongressHouse,26,subject,loc
Libertarian Party,26,subject,loc
Texas,26,subject,loc
Texas (6th Congressional District),26,subject,loc
electronictext/htmlborn digital,26,physicalDescription,loc
eng,26,language,loc
"Nulsen, Carl",26,name,loc
"Nulsen, Carl",26,name,loc
United StatesCongressHouse,26,name,loc
Libertarian Party,26,name,loc
Official Campaign Website - Carl Nulsen,26,titleInfo,loc
United States Elections Web Archive,26,titleInfo,loc
Researcher and Reference Services Division,26,titleInfo,loc
dlc20221128lcwaN0000602eng,25,recordInfo,loc
lcwaN0000602,25,identifier,loc
2097,25,identifier,loc
http://www.lptexas.org/2006/jperez,25,identifier,loc
949,25,identifier,loc
general,25,targetAudience,loc
2006062120061213,25,originInfo,loc
United States Elections Web Archive,25,relatedItem,loc
Researcher and Reference Services Division,25,relatedItem,loc
http://www.lptexas.org/2006/jperez949http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000949.jpgNone2006062120061213,25,relatedItem,loc
website,25,genre,loc
None,25,part,loc
text,25,typeOfResource,loc
None,25,accessCondition,loc
"Perez, Justo J.",25,subject,loc
Political candidatesUnited States,25,subject,loc
ElectionsUnited States,25,subject,loc
Politics and governmentUnited States,25,subject,loc
"United States Elections, 2006",25,subject,loc
United StatesCongressHouse,25,subject,loc
Libertarian Party,25,subject,loc
Texas,25,subject,loc
Texas (2nd Congressional District),25,subject,loc
electronictext/htmlborn digital,25,physicalDescription,loc
eng,25,language,loc
"Perez, Justo J.",25,name,loc
"Perez, Justo J.",25,name,loc
United StatesCongressHouse,25,name,loc
Libertarian Party,25,name,loc
Official Campaign Website - Justo J. Perez,25,titleInfo,loc
United States Elections Web Archive,25,titleInfo,loc
Researcher and Reference Services Division,25,titleInfo,loc
dlc20221128lcwaN0000601eng,24,recordInfo,loc
lcwaN0000601,24,identifier,loc
2098,24,identifier,loc
http://www.lptexas.org/2006/perkison,24,identifier,loc
948,24,identifier,loc
general,24,targetAudience,loc
2006062120061213,24,originInfo,loc
United States Elections Web Archive,24,relatedItem,loc
Researcher and Reference Services Division,24,relatedItem,loc
http://www.lptexas.org/2006/perkison948http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000948.jpgNone2006062120061213,24,relatedItem,loc
website,24,genre,loc
None,24,part,loc
text,24,typeOfResource,loc
None,24,accessCondition,loc
"Perkison, Donald",24,subject,loc
Political candidatesUnited States,24,subject,loc
ElectionsUnited States,24,subject,loc
Politics and governmentUnited States,24,subject,loc
"United States Elections, 2006",24,subject,loc
United StatesCongressHouse,24,subject,loc
Libertarian Party,24,subject,loc
Texas,24,subject,loc
Texas (1st Congressional District),24,subject,loc
electronictext/htmlborn digital,24,physicalDescription,loc
eng,24,language,loc
"Perkison, Donald",24,name,loc
"Perkison, Donald",24,name,loc
United StatesCongressHouse,24,name,loc
Libertarian Party,24,name,loc
Official Campaign Website - Donald Perkison,24,titleInfo,loc
United States Elections Web Archive,24,titleInfo,loc
Researcher and Reference Services Division,24,titleInfo,loc
dlc20221128lcwaN0000600eng,23,recordInfo,loc
lcwaN0000600,23,identifier,loc
2082,23,identifier,loc
http://www.badnarik.org/,23,identifier,loc
947,23,identifier,loc
general,23,targetAudience,loc
2002080920080605,23,originInfo,loc
United States Elections Web Archive,23,relatedItem,loc
Researcher and Reference Services Division,23,relatedItem,loc
http://www.badnarik.org/947http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000947.jpgNone2002080920080605,23,relatedItem,loc
website,23,genre,loc
None,23,part,loc
text,23,typeOfResource,loc
None,23,accessCondition,loc
"Badnarik, Michael",23,subject,loc
Political candidatesUnited States,23,subject,loc
ElectionsUnited States,23,subject,loc
Politics and governmentUnited States,23,subject,loc
"United States Elections, 2004",23,subject,loc
United StatesPresident,23,subject,loc
Libertarian Party,23,subject,loc
United States,23,subject,loc
"United States Elections, 2006",23,subject,loc
United StatesCongressHouse,23,subject,loc
Libertarian Party,23,subject,loc
Texas,23,subject,loc
Texas (10th Congressional District),23,subject,loc
electronictext/htmlborn digital,23,physicalDescription,loc
eng,23,language,loc
"Badnarik, Michael",23,name,loc
"Badnarik, Michael",23,name,loc
United StatesPresident,23,name,loc
Libertarian Party,23,name,loc
United StatesCongressHouse,23,name,loc
Libertarian Party,23,name,loc
Official Campaign Website - Michael Badnarik,23,titleInfo,loc
United States Elections Web Archive,23,titleInfo,loc
Researcher and Reference Services Division,23,titleInfo,loc
dlc20221128lcwaN0000599eng,22,recordInfo,loc
lcwaN0000599,22,identifier,loc
2142,22,identifier,loc
http://www.tedstricklandforcongress.com/,22,identifier,loc
946,22,identifier,loc
http://www.tedstrickland.com/,22,identifier,loc
945,22,identifier,loc
http://tedstrickland.com/,22,identifier,loc
944,22,identifier,loc
http://www.stricklandforcongress.com/,22,identifier,loc
943,22,identifier,loc
general,22,targetAudience,loc
2002070120021203,22,originInfo,loc
2006062120170419,22,originInfo,loc
2006062120170419,22,originInfo,loc
2002101220041216,22,originInfo,loc
United States Elections Web Archive,22,relatedItem,loc
Researcher and Reference Services Division,22,relatedItem,loc
http://www.tedstricklandforcongress.com/946http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000946.jpghttp://tedstrickland.comhttp://www.youtube.com/channel/UCqHt68upHRyUaGkuareKRxghttp://youtube.com/user/StricklandCampaignhttp://www.flickr.com/photos/51411553%40N06/http://www.youtube.com/user/StricklandCampaignhttp://secure.tedstrickland.com/page/contribute2002070120021203,22,relatedItem,loc
http://www.tedstrickland.com/945http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000945.jpg2006062120170419,22,relatedItem,loc
http://tedstrickland.com/944http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000944.jpg2006062120170419,22,relatedItem,loc
http://www.stricklandforcongress.com/943http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000943.jpg2002101220041216,22,relatedItem,loc
website,22,genre,loc
http://tedstrickland.comhttp://www.youtube.com/channel/UCqHt68upHRyUaGkuareKRxghttp://youtube.com/user/StricklandCampaignhttp://www.flickr.com/photos/51411553%40N06/http://www.youtube.com/user/StricklandCampaignhttp://secure.tedstrickland.com/page/contribute,22,part,loc
text,22,typeOfResource,loc
None,22,accessCondition,loc
"Strickland, Ted",22,subject,loc
Political candidatesUnited States,22,subject,loc
ElectionsUnited States,22,subject,loc
Politics and governmentUnited States,22,subject,loc
"United States Elections, 2002",22,subject,loc
United StatesCongressHouse,22,subject,loc
Democratic Party,22,subject,loc
Ohio,22,subject,loc
Ohio (6th Congressional District),22,subject,loc
"United States Elections, 2004",22,subject,loc
United StatesCongressHouse,22,subject,loc
Democratic Party,22,subject,loc
Ohio,22,subject,loc
Ohio (6th Congressional District),22,subject,loc
"United States Elections, 2006",22,subject,loc
OhioGovernor,22,subject,loc
Democratic Party,22,subject,loc
Ohio,22,subject,loc
"United States Elections, 2010",22,subject,loc
OhioGovernor,22,subject,loc
Democratic Party,22,subject,loc
Ohio,22,subject,loc
"United States Elections, 2016",22,subject,loc
United StatesCongressSenate,22,subject,loc
Democratic Party,22,subject,loc
Ohio,22,subject,loc
electronictext/htmlborn digital,22,physicalDescription,loc
eng,22,language,loc
"Strickland, Ted",22,name,loc
"Strickland, Ted",22,name,loc
United StatesCongressHouse,22,name,loc
Democratic Party,22,name,loc
United StatesCongressHouse,22,name,loc
Democratic Party,22,name,loc
OhioGovernor,22,name,loc
Democratic Party,22,name,loc
OhioGovernor,22,name,loc
Democratic Party,22,name,loc
United StatesCongressSenate,22,name,loc
Democratic Party,22,name,loc
Official Campaign Website - Ted Strickland,22,titleInfo,loc
United States Elections Web Archive,22,titleInfo,loc
Researcher and Reference Services Division,22,titleInfo,loc
dlc20221128lcwaN0000559eng,21,recordInfo,loc
lcwaN0000559,21,identifier,loc
2217,21,identifier,loc
http://www.matthews4congress.com/,21,identifier,loc
898,21,identifier,loc
general,21,targetAudience,loc
2004090920061206,21,originInfo,loc
United States Elections Web Archive,21,relatedItem,loc
Researcher and Reference Services Division,21,relatedItem,loc
http://www.matthews4congress.com/898http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000898.jpgNone2004090920061206,21,relatedItem,loc
website,21,genre,loc
None,21,part,loc
text,21,typeOfResource,loc
None,21,accessCondition,loc
"Matthews, Cynthia",21,subject,loc
Political candidatesUnited States,21,subject,loc
ElectionsUnited States,21,subject,loc
Politics and governmentUnited States,21,subject,loc
"United States Elections, 2004",21,subject,loc
United StatesCongressHouse,21,subject,loc
Democratic Party,21,subject,loc
California,21,subject,loc
California (26th Congressional District),21,subject,loc
"United States Elections, 2006",21,subject,loc
United StatesCongressHouse,21,subject,loc
Democratic Party,21,subject,loc
California,21,subject,loc
California (26th Congressional District),21,subject,loc
electronictext/htmlborn digital,21,physicalDescription,loc
eng,21,language,loc
"Matthews, Cynthia",21,name,loc
"Matthews, Cynthia",21,name,loc
United StatesCongressHouse,21,name,loc
Democratic Party,21,name,loc
United StatesCongressHouse,21,name,loc
Democratic Party,21,name,loc
Official Campaign Website - Cynthia Matthews,21,titleInfo,loc
United States Elections Web Archive,21,titleInfo,loc
Researcher and Reference Services Division,21,titleInfo,loc
dlc20221128lcwaN0000558eng,20,recordInfo,loc
lcwaN0000558,20,identifier,loc
2141,20,identifier,loc
http://www.jillmartinez2006.com/,20,identifier,loc
897,20,identifier,loc
general,20,targetAudience,loc
2006062120061213,20,originInfo,loc
United States Elections Web Archive,20,relatedItem,loc
Researcher and Reference Services Division,20,relatedItem,loc
http://www.jillmartinez2006.com/897http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000897.jpgNone2006062120061213,20,relatedItem,loc
website,20,genre,loc
None,20,part,loc
text,20,typeOfResource,loc
None,20,accessCondition,loc
"Martinez, Jill Marie",20,subject,loc
Political candidatesUnited States,20,subject,loc
ElectionsUnited States,20,subject,loc
Politics and governmentUnited States,20,subject,loc
"United States Elections, 2006",20,subject,loc
United StatesCongressHouse,20,subject,loc
Democratic Party,20,subject,loc
California,20,subject,loc
California (24th Congressional District),20,subject,loc
electronictext/htmlborn digital,20,physicalDescription,loc
eng,20,language,loc
"Martinez, Jill Marie",20,name,loc
"Martinez, Jill Marie",20,name,loc
United StatesCongressHouse,20,name,loc
Democratic Party,20,name,loc
Official Campaign Website - Jill Marie Martinez,20,titleInfo,loc
United States Elections Web Archive,20,titleInfo,loc
Researcher and Reference Services Division,20,titleInfo,loc
dlc20221128lcwaN0000557eng,19,recordInfo,loc
lcwaN0000557,19,identifier,loc
2200,19,identifier,loc
http://www.lugar2006.com/,19,identifier,loc
896,19,identifier,loc
general,19,targetAudience,loc
2006062120061213,19,originInfo,loc
United States Elections Web Archive,19,relatedItem,loc
Researcher and Reference Services Division,19,relatedItem,loc
http://www.lugar2006.com/896http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000896.jpgNone2006062120061213,19,relatedItem,loc
website,19,genre,loc
None,19,part,loc
text,19,typeOfResource,loc
None,19,accessCondition,loc
"Lugar, Richard G.",19,subject,loc
Political candidatesUnited States,19,subject,loc
ElectionsUnited States,19,subject,loc
Politics and governmentUnited States,19,subject,loc
"United States Elections, 2006",19,subject,loc
United StatesCongressSenate,19,subject,loc
Republican Party,19,subject,loc
Indiana,19,subject,loc
electronictext/htmlborn digital,19,physicalDescription,loc
eng,19,language,loc
"Lugar, Richard G.",19,name,loc
"Lugar, Richard G.",19,name,loc
United StatesCongressSenate,19,name,loc
Republican Party,19,name,loc
Official Campaign Website - Richard G. Lugar,19,titleInfo,loc
United States Elections Web Archive,19,titleInfo,loc
Researcher and Reference Services Division,19,titleInfo,loc
dlc20221128lcwaN0000556eng,18,recordInfo,loc
lcwaN0000556,18,identifier,loc
542,18,identifier,loc
https://www.facebook.com/markleyva2014,18,identifier,loc
36097,18,identifier,loc
http://markleyva.com/,18,identifier,loc
895,18,identifier,loc
http://www.markleyva.com/,18,identifier,loc
894,18,identifier,loc
http://www.markleyva.com/MLMain,18,identifier,loc
893,18,identifier,loc
general,18,targetAudience,loc
2014061120181219,18,originInfo,loc
2002080920201222,18,originInfo,loc
2002080920201222,18,originInfo,loc
2002080720040909,18,originInfo,loc
United States Elections Web Archive,18,relatedItem,loc
Researcher and Reference Services Division,18,relatedItem,loc
https://www.facebook.com/markleyva201436097http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0036097.jpghttp://www.facebook.com/markleyva20142014061120181219,18,relatedItem,loc
http://markleyva.com/895http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000895.jpghttp://markleyva.com2002080920201222,18,relatedItem,loc
http://www.markleyva.com/894http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000894.jpghttp://markleyva.comhttp://endthefedusa.ning.comhttp://www.flipthishouse2010.comhttp://www.fundraisingbynet.net/fbn/contributeFederal.asp?2002080920201222,18,relatedItem,loc
http://www.markleyva.com/MLMain893http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000893.jpg2002080720040909,18,relatedItem,loc
website,18,genre,loc
http://www.facebook.com/markleyva2014,18,part,loc
http://markleyva.com,18,part,loc
http://markleyva.comhttp://endthefedusa.ning.comhttp://www.flipthishouse2010.comhttp://www.fundraisingbynet.net/fbn/contributeFederal.asp?,18,part,loc
text,18,typeOfResource,loc
None,18,accessCondition,loc
"Leyva, Mark J.",18,subject,loc
Political candidatesUnited States,18,subject,loc
ElectionsUnited States,18,subject,loc
Politics and governmentUnited States,18,subject,loc
"United States Elections, 2002",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2004",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2006",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2008",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2010",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2014",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2018",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
"United States Elections, 2020",18,subject,loc
United StatesCongressHouse,18,subject,loc
Republican Party,18,subject,loc
Indiana,18,subject,loc
Indiana (1st Congressional District),18,subject,loc
electronictext/htmlborn digital,18,physicalDescription,loc
eng,18,language,loc
"Leyva, Mark J.",18,name,loc
"Leyva, Mark J.",18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
United StatesCongressHouse,18,name,loc
Republican Party,18,name,loc
Official Campaign Website - Mark J. Leyva,18,titleInfo,loc
United States Elections Web Archive,18,titleInfo,loc
Researcher and Reference Services Division,18,titleInfo,loc
dlc20221128lcwaN0000598eng,17,recordInfo,loc
lcwaN0000598,17,identifier,loc
1929,17,identifier,loc
http://www.layfieldforcongress.com/,17,identifier,loc
942,17,identifier,loc
general,17,targetAudience,loc
2006062120061213,17,originInfo,loc
United States Elections Web Archive,17,relatedItem,loc
Researcher and Reference Services Division,17,relatedItem,loc
http://www.layfieldforcongress.com/942http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000942.jpgNone2006062120061213,17,relatedItem,loc
website,17,genre,loc
None,17,part,loc
text,17,typeOfResource,loc
None,17,accessCondition,loc
"Layfield, Mark",17,subject,loc
Political candidatesUnited States,17,subject,loc
ElectionsUnited States,17,subject,loc
Politics and governmentUnited States,17,subject,loc
"United States Elections, 2006",17,subject,loc
United StatesCongressHouse,17,subject,loc
Independent candidates,17,subject,loc
Alabama,17,subject,loc
Alabama (3rd Congressional District),17,subject,loc
electronictext/htmlborn digital,17,physicalDescription,loc
eng,17,language,loc
"Layfield, Mark",17,name,loc
"Layfield, Mark",17,name,loc
United StatesCongressHouse,17,name,loc
Independent candidates,17,name,loc
Official Campaign Website - Mark Layfield,17,titleInfo,loc
United States Elections Web Archive,17,titleInfo,loc
Researcher and Reference Services Division,17,titleInfo,loc
dlc20221128lcwaN0000554eng,16,recordInfo,loc
lcwaN0000554,16,identifier,loc
2228,16,identifier,loc
http://www.derrickkitts.com/,16,identifier,loc
891,16,identifier,loc
general,16,targetAudience,loc
2006062120061213,16,originInfo,loc
United States Elections Web Archive,16,relatedItem,loc
Researcher and Reference Services Division,16,relatedItem,loc
http://www.derrickkitts.com/891http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000891.jpgNone2006062120061213,16,relatedItem,loc
website,16,genre,loc
None,16,part,loc
text,16,typeOfResource,loc
None,16,accessCondition,loc
"Kitts, Derrick",16,subject,loc
Political candidatesUnited States,16,subject,loc
ElectionsUnited States,16,subject,loc
Politics and governmentUnited States,16,subject,loc
"United States Elections, 2006",16,subject,loc
United StatesCongressHouse,16,subject,loc
Republican Party,16,subject,loc
Oregon,16,subject,loc
Oregon (1st Congressional District),16,subject,loc
electronictext/htmlborn digital,16,physicalDescription,loc
eng,16,language,loc
"Kitts, Derrick",16,name,loc
"Kitts, Derrick",16,name,loc
United StatesCongressHouse,16,name,loc
Republican Party,16,name,loc
Official Campaign Website - Derrick Kitts,16,titleInfo,loc
United States Elections Web Archive,16,titleInfo,loc
Researcher and Reference Services Division,16,titleInfo,loc
dlc20221128lcwaN0000553eng,15,recordInfo,loc
lcwaN0000553,15,identifier,loc
2173,15,identifier,loc
http://katzforcongress.com/,15,identifier,loc
890,15,identifier,loc
general,15,targetAudience,loc
2006062120081128,15,originInfo,loc
United States Elections Web Archive,15,relatedItem,loc
Researcher and Reference Services Division,15,relatedItem,loc
http://katzforcongress.com/890http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000890.jpgNone2006062120081128,15,relatedItem,loc
website,15,genre,loc
None,15,part,loc
text,15,typeOfResource,loc
None,15,accessCondition,loc
"Katz, Lewis Robert",15,subject,loc
Political candidatesUnited States,15,subject,loc
ElectionsUnited States,15,subject,loc
Politics and governmentUnited States,15,subject,loc
"United States Elections, 2006",15,subject,loc
United StatesCongressHouse,15,subject,loc
Democratic Party,15,subject,loc
Ohio,15,subject,loc
Ohio (14th Congressional District),15,subject,loc
electronictext/htmlborn digital,15,physicalDescription,loc
eng,15,language,loc
"Katz, Lewis Robert",15,name,loc
"Katz, Lewis Robert",15,name,loc
United StatesCongressHouse,15,name,loc
Democratic Party,15,name,loc
Official Campaign Website - Lewis Robert Katz,15,titleInfo,loc
United States Elections Web Archive,15,titleInfo,loc
Researcher and Reference Services Division,15,titleInfo,loc
dlc20221128lcwaN0000552eng,14,recordInfo,loc
lcwaN0000552,14,identifier,loc
318,14,identifier,loc
https://www.facebook.com/marcykapturforcongress/,14,identifier,loc
36641,14,identifier,loc
https://marcykaptur.com/,14,identifier,loc
32615,14,identifier,loc
http://marcykaptur.com/,14,identifier,loc
23120,14,identifier,loc
http://www.marcykaptur.com/,14,identifier,loc
889,14,identifier,loc
http://www.votemarcy.com/,14,identifier,loc
888,14,identifier,loc
http://votemarcy.com/,14,identifier,loc
887,14,identifier,loc
general,14,targetAudience,loc
2018092620181205,14,originInfo,loc
2002070120210112,14,originInfo,loc
2002070120210112,14,originInfo,loc
2002070120210112,14,originInfo,loc
2002070220101202,14,originInfo,loc
2002070220101202,14,originInfo,loc
United States Elections Web Archive,14,relatedItem,loc
Researcher and Reference Services Division,14,relatedItem,loc
https://www.facebook.com/marcykapturforcongress/36641http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0036641.jpghttp://www.facebook.com/marcykapturforcongress/2018092620181205,14,relatedItem,loc
https://marcykaptur.com/32615http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0032615.jpghttp://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur?refcode=navbarhttp://secure.actblue.com/contribute/page/marcykaptur2002070120210112,14,relatedItem,loc
http://marcykaptur.com/23120http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0023120.jpghttp://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur2002070120210112,14,relatedItem,loc
http://www.marcykaptur.com/889http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000889.jpghttp://marcykaptur.comhttp://secure.actblue.com/page/marcykapturhttp://secure.actblue.com/page/marcykaptur?amount=25.002002070120210112,14,relatedItem,loc
http://www.votemarcy.com/888http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000888.jpghttp://votemarcy.comhttp://marcykaptur.com2002070220101202,14,relatedItem,loc
http://votemarcy.com/887http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000887.jpg2002070220101202,14,relatedItem,loc
website,14,genre,loc
http://www.facebook.com/marcykapturforcongress/,14,part,loc
http://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur?refcode=navbarhttp://secure.actblue.com/contribute/page/marcykaptur,14,part,loc
http://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur,14,part,loc
http://marcykaptur.comhttp://secure.actblue.com/page/marcykapturhttp://secure.actblue.com/page/marcykaptur?amount=25.00,14,part,loc
http://votemarcy.comhttp://marcykaptur.com,14,part,loc
text,14,typeOfResource,loc
None,14,accessCondition,loc
"Kaptur, Marcy",14,subject,loc
Political candidatesUnited States,14,subject,loc
ElectionsUnited States,14,subject,loc
Politics and governmentUnited States,14,subject,loc
"United States Elections, 2002",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2004",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2006",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2008",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2010",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2012",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2014",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2016",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2018",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
"United States Elections, 2020",14,subject,loc
United StatesCongressHouse,14,subject,loc
Democratic Party,14,subject,loc
Ohio,14,subject,loc
Ohio (9th Congressional District),14,subject,loc
electronictext/htmlborn digital,14,physicalDescription,loc
eng,14,language,loc
"Kaptur, Marcy",14,name,loc
"Kaptur, Marcy",14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
